Title,Variety,Appelation,Rating,Price
Domaine Loew 2017 Bruderbach Clos des Frères Riesling (Alsace), Alsace, Rhône Valley, 93, 33
Domaine Loew 2017 Westhoffen Gewurztraminer (Alsace), Alsace, Alsace, 92, 28
Domaine Loew 2015 Bruderbach Clos Marienberg Pinot Gris (Alsace), Alsace, Alsace, 92, 34
Domaine Loew 2016 Bruderbach Le Menhir Pinot Gris (Alsace), Alsace, Alsace, 91, 34
Domaine de Fondrèche 2016 Persia Syrah-Mourvèdre (Ventoux), Ventoux, Alsace, 93, 30
Domaine de Fondrèche 2016 Il Etait une Fois Red (Ventoux), Ventoux, Alsace, 93, 60
Etienne Oudart 2008 Cuvée Juliana Brut  (Champagne), Champagne, Alsace, 92, 93
Château la Croix des Pins 2016 Les Trois Villages Red (Ventoux), Ventoux, Rhône Valley, 91, /A
Château la Croix des Pins 2017 Les 3 Villages White (Ventoux), Ventoux, Rhône Valley, 91, /A
Domaine de Fondrèche 2017 Domaine Blanc White (Ventoux), Ventoux, Rhône Valley, 90, 20
Etienne Oudart 2010 Chardonnay Millésimé Brut Chardonnay (Champagne), Champagne, Rhône Valley, 90, 68
Etienne Oudart NV Brut Réference  (Champagne), Champagne, Champagne, 88, 51
Etienne Oudart NV Brut Rosé Réference  (Champagne), Champagne, Champagne, 88, 57
Château la Croix des Pins 2017 Le Secret White (Ventoux), Ventoux, Rhône Valley, 87, /A
Château des Annibals 2018 Suivez-moi Jeune Homme Rosé (Coteaux Varois en Provence), Coteaux Varois en Provence, Rhône Valley, 88, 24
Château Barbebelle 2018 Cuvée Rosé Fleuri Rosé (Coteaux d'Aix-en-Provence), Coteaux d'Aix-en-Provence, Rhône Valley, 87, 16
Château Couhins 2016  Pessac-Léognan, Château Couhins 2016  Pessac-Léogna, Rhône Valley, 94, 29
Domaine de l'Amauve 2017 La Daurèle White (Côtes du Rhône Villages Séguret), Côtes du Rhône Villages Séguret, Rhône Valley, 90, /A
Domaine de Verquiere 2016 Grenache-Syrah, Domaine de Verquiere 2016 Grenache-Syra, Rhône Valley, 90, 18
Château de Montfaucon 2016 Comtesse Madeline White (Lirac), Lirac, Champagne, 90, 22
Domaine de l'Amauve 2016 Réserve Red (Côtes du Rhône Villages Séguret), Côtes du Rhône Villages Séguret, Champagne, 89, /A
Domaine de Verquiere 2017 White (Côtes du Rhône Villages Sablet), Côtes du Rhône Villages Sablet, Rhône Valley, 89, 20
Domaine Loew 2017 Vérité Sylvaner (Alsace), Alsace, Rhône Valley, 91, 28
Domaine Loew 2017 Westhofen Pinot Noir (Alsace), Alsace, Alsace, 91, 32
Josmeyer 2017 Peau Rouge Sylvaner (Alsace), Alsace, Alsace, 90, 28
Domaine Loew 2016 Pinot White (Alsace), Alsace, Alsace, 90, 33
Domaine Loew 2017 Les Marnes Vertes Muscat (Alsace), Alsace, Alsace, 90, 30
Domaine Loew 2017 Westhoffen Sylvaner (Alsace), Alsace, Alsace, 89, 21
Domaine Loew 2016 Les Marnes Vertes Muscat (Alsace), Alsace, Alsace, 89, 30
Josmeyer NV Alsace Dream White (Alsace), Alsace, Alsace, 88, 25
Merrain Rouge 2015  Médoc, Merrain Rouge 2015  Médo, Alsace, 86, 27
Domaine la Fourmone 2017 Le Fleurantine White (Vacqueyras), Vacqueyras, Alsace, 89, 36
Le Clos de Caveau 2017 Louis d'Or White (Vacqueyras), Vacqueyras, Alsace, 89, 30
Château Haut Grelot 2017 Sélection  (Blaye Côtes de Bordeaux), Blaye Côtes de Bordeaux, Alsace, 90, 22
